Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown
20200715,IL,157825,34463,26330,49483,4373,228,390,,5827,36731,7427,3219,1998,1491,346,10,8,,52,303
20200712,IL,155048,33468,25828,48999,4317,226,385,,5719,36106,7388,3199,1990,1482,343,10,8,,52,304
20200708,IL,150554,31974,25072,48116,4249,225,384,,5544,34990,7309,3163,1967,1460,337,10,8,,51,313
20200705,IL,148373,31143,24691,47679,4209,224,379,,5493,34555,7230,3123,1958,1448,329,10,7,,48,307
20200701,IL,144013,30175,24191,46832,4163,219,373,,5383,32677,6951,3090,1934,1435,327,9,7,,48,101
20200628,IL,141723,29505,23774,46213,4119,214,366,,5361,32171,6888,3061,1923,1417,325,9,6,,49,98
20200624,IL,138540,28469,23223,45294,4055,210,356,,5263,31670,6770,3004,1892,1383,322,9,6,,50,50
20200621,IL,136762,27901,22941,44647,3995,211,352,,5218,31497,6647,2943,1869,1353,318,9,6,,51,51
20200617,IL,134185,26830,22296,43765,3872,204,339,,4798,32081,6485,2856,1832,1301,306,9,5,,45,45
20200614,IL,132543,26338,22004,42950,3803,201,331,,4780,32136,6308,2770,1793,1257,298,9,5,,44,44
20200610,IL,129837,25574,21575,41721,3716,202,325,,4674,32050,6095,2676,1746,1204,285,9,5,,41,41
20200607,IL,127757,25020,21192,40854,3663,197,320,,4623,31888,5904,2573,1704,1168,279,9,5,,41,41
20200603,IL,123830,24128,20506,39339,3556,193,301,,4496,31311,5621,2441,1646,1094,266,8,5,,42,42
20200531,IL,120260,23426,19939,37707,3465,191,294,,4420,30818,5390,2324,1588,1050,257,8,4,,39,39
20200527,IL,114306,22289,19135,35369,3319,182,282,,4179,29551,5083,2166,1517,984,247,7,4,,36,36
20200524,IL,110304,21659,18605,34106,3234,181,278,,4037,28204,4856,2070,1469,923,236,7,3,,36,36
20200520,IL,100418,20251,17512,30555,3003,173,261,,3801,24862,4525,1928,1394,828,215,9,3,,38,38
20200517,IL,94191,19218,16616,27763,2830,159,219,,3643,23743,4177,1785,1316,747,194,7,2,,31,31
20200513,IL,84698,17407,15034,23259,2529,138,164,,3390,22777,3792,1611,1217,643,169,7,2,,36,36
20200510,IL,77741,16390,14369,20839,2408,126,123,,3142,20344,3406,1450,1106,554,147,6,2,,27,27
20200506,IL,68232,14809,13277,17240,2203,99,73,,2766,17765,2974,1262,998,457,124,5,3,,25,25
20200503,IL,61499,13566,12240,14502,2001,82,67,,2524,16517,2618,1096,904,379,111,3,3,,30,30
20200429,IL,50355,11676,10850,10846,1718,70,62,,2031,13102,2215,912,796,297,91,2,2,,24,24
20200426,IL,43903,10427,9918,8743,1523,65,52,,1834,11341,1933,794,712,245,76,2,2,,19,19
20200422,IL,35108,8573,8504,6195,1244,50,45,,1447,9050,1565,621,596,181,62,1,3,,21,21
20200419,IL,30357,7554,7498,4913,1085,46,39,,1324,7898,1791,501,502,134,51,512,2,,15,15
20200415,IL,24593,6127,6331,3357,847,34,33,,1117,6747,948,355,397,89,33,1,2,,16,55
20200412,IL,20852,5214,5458,2513,691,24,28,,988,5936,720,259,308,70,27,2,1,,12,41
