Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Numb,%DeathsTotalCases,%WhitesTotalCases,%BlackTotalCases,%LatinTotalCases,%AsianTotalCases,%UnknownTotalCases,%DeathsWhite,%DeathsBlack,%DeathsLatin,%DeathsAsian,%DeathsUnknown
20200412,IL,20852,5214,5458,2513,691,24,28,,988,5936,720,259,308,70,27,2,1,,12,41,395,3.5,25.0,26.2,12.1,3.3,28.5,1.2,1.5,0.3,0.1,0.2
20200415,IL,24593,6127,6331,3357,847,34,33,,1117,6747,948,355,397,89,33,1,2,,16,55,396,3.9,24.9,25.7,13.7,3.4,27.4,1.4,1.6,0.4,0.1,0.2
20200419,IL,30357,7554,7498,4913,1085,46,39,,1324,7898,1791,501,502,134,51,512,2,,15,15,397,5.9,24.9,24.7,16.2,3.6,26.0,1.7,1.7,0.4,0.2,0.0
20200422,IL,35108,8573,8504,6195,1244,50,45,,1447,9050,1565,621,596,181,62,1,3,,21,21,398,4.5,24.4,24.2,17.6,3.5,25.8,1.8,1.7,0.5,0.2,0.1
20200426,IL,43903,10427,9918,8743,1523,65,52,,1834,11341,1933,794,712,245,76,2,2,,19,19,399,4.4,23.8,22.6,19.9,3.5,25.8,1.8,1.6,0.6,0.2,0.0
20200429,IL,50355,11676,10850,10846,1718,70,62,,2031,13102,2215,912,796,297,91,2,2,,24,24,400,4.4,23.2,21.5,21.5,3.4,26.0,1.8,1.6,0.6,0.2,0.0
20200503,IL,61499,13566,12240,14502,2001,82,67,,2524,16517,2618,1096,904,379,111,3,3,,30,30,401,4.3,22.1,19.9,23.6,3.3,26.9,1.8,1.5,0.6,0.2,0.0
20200506,IL,68232,14809,13277,17240,2203,99,73,,2766,17765,2974,1262,998,457,124,5,3,,25,25,402,4.4,21.7,19.5,25.3,3.2,26.0,1.8,1.5,0.7,0.2,0.0
20200510,IL,77741,16390,14369,20839,2408,126,123,,3142,20344,3406,1450,1106,554,147,6,2,,27,27,403,4.4,21.1,18.5,26.8,3.1,26.2,1.9,1.4,0.7,0.2,0.0
20200513,IL,84698,17407,15034,23259,2529,138,164,,3390,22777,3792,1611,1217,643,169,7,2,,36,36,404,4.5,20.6,17.8,27.5,3.0,26.9,1.9,1.4,0.8,0.2,0.0
20200517,IL,94191,19218,16616,27763,2830,159,219,,3643,23743,4177,1785,1316,747,194,7,2,,31,31,405,4.4,20.4,17.6,29.5,3.0,25.2,1.9,1.4,0.8,0.2,0.0
20200520,IL,100418,20251,17512,30555,3003,173,261,,3801,24862,4525,1928,1394,828,215,9,3,,38,38,406,4.5,20.2,17.4,30.4,3.0,24.8,1.9,1.4,0.8,0.2,0.0
20200524,IL,110304,21659,18605,34106,3234,181,278,,4037,28204,4856,2070,1469,923,236,7,3,,36,36,407,4.4,19.6,16.9,30.9,2.9,25.6,1.9,1.3,0.8,0.2,0.0
20200527,IL,114306,22289,19135,35369,3319,182,282,,4179,29551,5083,2166,1517,984,247,7,4,,36,36,408,4.4,19.5,16.7,30.9,2.9,25.9,1.9,1.3,0.9,0.2,0.0
20200531,IL,120260,23426,19939,37707,3465,191,294,,4420,30818,5390,2324,1588,1050,257,8,4,,39,39,409,4.5,19.5,16.6,31.4,2.9,25.6,1.9,1.3,0.9,0.2,0.0
20200603,IL,123830,24128,20506,39339,3556,193,301,,4496,31311,5621,2441,1646,1094,266,8,5,,42,42,410,4.5,19.5,16.6,31.8,2.9,25.3,2.0,1.3,0.9,0.2,0.0
20200607,IL,127757,25020,21192,40854,3663,197,320,,4623,31888,5904,2573,1704,1168,279,9,5,,41,41,411,4.6,19.6,16.6,32.0,2.9,25.0,2.0,1.3,0.9,0.2,0.0
20200610,IL,129837,25574,21575,41721,3716,202,325,,4674,32050,6095,2676,1746,1204,285,9,5,,41,41,412,4.7,19.7,16.6,32.1,2.9,24.7,2.1,1.3,0.9,0.2,0.0
20200614,IL,132543,26338,22004,42950,3803,201,331,,4780,32136,6308,2770,1793,1257,298,9,5,,44,44,413,4.8,19.9,16.6,32.4,2.9,24.2,2.1,1.4,0.9,0.2,0.0
20200617,IL,134185,26830,22296,43765,3872,204,339,,4798,32081,6485,2856,1832,1301,306,9,5,,45,45,414,4.8,20.0,16.6,32.6,2.9,23.9,2.1,1.4,1.0,0.2,0.0
20200621,IL,136762,27901,22941,44647,3995,211,352,,5218,31497,6647,2943,1869,1353,318,9,6,,51,51,415,4.9,20.4,16.8,32.6,2.9,23.0,2.2,1.4,1.0,0.2,0.0
20200624,IL,138540,28469,23223,45294,4055,210,356,,5263,31670,6770,3004,1892,1383,322,9,6,,50,50,416,4.9,20.5,16.8,32.7,2.9,22.9,2.2,1.4,1.0,0.2,0.0
20200628,IL,141723,29505,23774,46213,4119,214,366,,5361,32171,6888,3061,1923,1417,325,9,6,,49,98,417,4.9,20.8,16.8,32.6,2.9,22.7,2.2,1.4,1.0,0.2,0.1
20200701,IL,144013,30175,24191,46832,4163,219,373,,5383,32677,6951,3090,1934,1435,327,9,7,,48,101,418,4.8,21.0,16.8,32.5,2.9,22.7,2.1,1.3,1.0,0.2,0.1
20200705,IL,148373,31143,24691,47679,4209,224,379,,5493,34555,7230,3123,1958,1448,329,10,7,,48,307,419,4.9,21.0,16.6,32.1,2.8,23.3,2.1,1.3,1.0,0.2,0.2
20200708,IL,150554,31974,25072,48116,4249,225,384,,5544,34990,7309,3163,1967,1460,337,10,8,,51,313,420,4.9,21.2,16.7,32.0,2.8,23.2,2.1,1.3,1.0,0.2,0.2
20200712,IL,155048,33468,25828,48999,4317,226,385,,5719,36106,7388,3199,1990,1482,343,10,8,,52,304,421,4.8,21.6,16.7,31.6,2.8,23.3,2.1,1.3,1.0,0.2,0.2
20200715,IL,157825,34463,26330,49483,4373,228,390,,5827,36731,7427,3219,1998,1491,346,10,8,,52,303,422,4.7,21.8,16.7,31.4,2.8,23.3,2.0,1.3,0.9,0.2,0.2
