Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
7/15/2020,IL,2777,995,502,484,56,2,5,108,625,484,1668,625,39,20,8,9,3,0,0,0,-1,9,31,-1
7/12/2020,IL,4494,1494,756,883,68,1,1,175,1116,883,2495,1116,79,36,23,22,6,0,0,1,-9,22,66,0
7/8/2020,IL,2181,831,381,437,40,1,5,51,435,437,1309,435,79,40,9,12,8,0,1,3,6,12,61,6
7/5/2020,IL,4360,968,500,847,46,5,6,110,1878,847,1635,1878,279,33,24,13,2,1,0,0,206,13,60,-4
7/1/2020,IL,2290,670,417,619,44,5,7,22,506,619,1165,506,63,29,11,18,2,0,1,-1,3,18,42,3
6/28/2020,IL,3183,1036,551,919,64,4,10,98,501,919,1763,501,118,57,31,34,3,0,0,-1,48,34,90,-6
6/24/2020,IL,1778,568,282,647,60,-1,4,45,173,647,958,173,123,61,23,30,4,0,0,-1,-1,30,87,6
6/21/2020,IL,2577,1071,645,882,123,7,13,420,-584,882,2279,-584,162,87,37,52,12,0,1,6,6,52,143,-33
6/17/2020,IL,1642,492,292,815,69,3,8,18,-55,815,882,-55,177,86,39,44,8,0,0,1,1,44,134,-1
6/14/2020,IL,2706,764,429,1229,87,-1,6,106,86,1229,1391,86,213,94,47,53,13,0,0,3,3,53,157,3
6/10/2020,IL,2080,554,383,867,53,5,5,51,162,867,1051,162,191,103,42,36,6,0,0,0,0,36,151,4
6/7/2020,IL,3927,892,686,1515,107,4,19,127,577,1515,1835,577,283,132,58,74,13,1,0,-1,-1,74,203,6
6/3/2020,IL,3570,702,567,1632,91,2,7,76,493,1632,1445,493,231,117,58,44,9,0,1,3,3,44,188,-1
5/31/2020,IL,5954,1137,804,2338,146,9,12,241,1267,2338,2349,1267,307,158,71,66,10,1,0,3,3,66,243,-2
5/27/2020,IL,4002,630,530,1263,85,1,4,142,1347,1263,1392,1347,227,96,48,61,11,0,1,0,0,61,156,10
5/24/2020,IL,9886,1408,1093,3551,231,8,17,236,3342,3551,2993,3342,331,142,75,95,21,-2,0,-2,-2,95,234,2
5/20/2020,IL,6227,1033,896,2792,173,14,42,158,1119,2792,2316,1119,348,143,78,81,21,2,1,7,7,81,252,15
5/17/2020,IL,9493,1811,1582,4504,301,21,55,253,966,4504,4023,966,385,174,99,104,25,0,0,-5,-5,104,293,-12
5/13/2020,IL,6957,1017,665,2420,121,12,41,248,2433,2420,2104,2433,386,161,111,89,22,1,0,9,9,89,304,-7
5/10/2020,IL,9509,1581,1092,3599,205,27,50,376,2579,3599,3331,2579,432,188,108,97,23,1,-1,2,2,97,321,14
5/6/2020,IL,6733,1243,1037,2738,202,17,6,242,1248,2738,2747,1248,356,166,94,78,13,2,0,-5,-5,78,270,8
5/3/2020,IL,11144,1890,1390,3656,283,12,5,493,3415,3656,4073,3415,403,184,108,82,20,1,1,6,6,82,320,1
4/29/2020,IL,6452,1249,932,2103,195,5,10,197,1761,2103,2588,1761,282,118,84,52,15,0,0,5,5,52,222,8
4/26/2020,IL,8795,1854,1414,2548,279,15,7,387,2291,2548,3956,2291,368,173,116,64,14,1,-1,-2,-2,64,301,3
4/22/2020,IL,4751,1019,1006,1282,159,4,6,123,1152,1282,2317,1152,-226,120,94,47,11,-511,1,6,6,47,-279,6
4/19/2020,IL,5764,1427,1167,1556,238,12,6,207,1151,4913,17546,7898,843,146,105,45,18,511,0,-1,-40,134,1583,74
4/15/2020,IL,3741,913,873,844,156,10,5,129,811,0,0,0,228,96,89,19,6,-1,1,4,14,0,0,0
4/12/2020,IL,20852,5214,5458,2513,691,24,28,988,5936,0,0,0,720,259,308,70,27,2,1,12,41,0,0,0
